Spec,Size,Remove,Time,Best?,
specs/genbuf.spectra, 3, 51, 0.204,1.000,
specs/genbuf.spectra, 4, -1, 0.985,1.000,
specs/genbuf.spectra, 4, 0, 1.015,1.000,
specs/genbuf.spectra, 4, 1, 1.004,1.000,
specs/genbuf.spectra, 4, 2, 1.001,1.000,
specs/genbuf.spectra, 4, 3, 0.966,1.000,
specs/genbuf.spectra, 4, 4, 1.022,1.000,
specs/genbuf.spectra, 4, 5, 0.986,1.000,
specs/genbuf.spectra, 4, 6, 0.974,1.000,
specs/genbuf.spectra, 4, 7, 1.035,1.000,
specs/genbuf.spectra, 4, 8, 0.988,1.000,
specs/genbuf.spectra, 4, 9, 0.958,1.000,
specs/genbuf.spectra, 4, 10, 1.001,1.000,
specs/genbuf.spectra, 4, 11, 1.026,1.000,
specs/genbuf.spectra, 4, 12, 1.000,1.000,
specs/genbuf.spectra, 4, 13, 1.022,1.000,
specs/genbuf.spectra, 4, 14, 1.077,1.000,
specs/genbuf.spectra, 4, 15, 1.018,1.000,
specs/genbuf.spectra, 4, 16, 1.012,1.000,
specs/genbuf.spectra, 4, 17, 0.995,1.000,
specs/genbuf.spectra, 4, 18, 1.020,1.000,
specs/genbuf.spectra, 4, 19, 1.049,1.000,
specs/genbuf.spectra, 4, 20, 1.003,1.000,
specs/genbuf.spectra, 4, 21, 1.026,1.000,
specs/genbuf.spectra, 4, 22, 1.037,1.000,
specs/genbuf.spectra, 4, 23, 0.976,1.000,
specs/genbuf.spectra, 4, 24, 0.278,1.000,
specs/genbuf.spectra, 4, 25, 1.007,1.000,
specs/genbuf.spectra, 4, 26, 0.986,1.000,
specs/genbuf.spectra, 4, 27, 0.991,1.000,
specs/genbuf.spectra, 4, 32, 1.042,1.000,
specs/genbuf.spectra, 4, 33, 1.025,1.000,
specs/genbuf.spectra, 4, 34, 1.018,1.000,
specs/genbuf.spectra, 4, 35, 0.985,1.000,
specs/genbuf.spectra, 4, 36, 0.957,1.000,
specs/genbuf.spectra, 4, 37, 1.028,1.000,
specs/genbuf.spectra, 4, 38, 1.057,1.000,
specs/genbuf.spectra, 4, 39, 1.027,1.000,
