File Name,Execution Time (seconds)
Lights3_3916ec59.tlsf,0.314406494
Lights3_6bea956e.tlsf,0.378870181
Lights3_f1477cc5.tlsf,0.291129402
LightsMin_6bea956e.tlsf,0.115095868
LightsTotal_06e9cad4.tlsf,16.873480407
LightsTotal_2c5b09da.tlsf,8.815064298
LightsTotal_9cbf2546.tlsf,17.124444627
LightsTotal_d65ed84e.tlsf,19.440666069
Lights_06e9cad4.tlsf,0.367146844
Lights_2c5b09da.tlsf,0.133041697
Lights_3461125b.tlsf,0.210162422
Lights_9cac58d3.tlsf,0.207282431
Lights_b0840146.tlsf,0.269805097
Lights_f3987563.tlsf,0.314253509
ModdifiedLedMatrix4X.tlsf,0.608311093
ModdifiedLedMatrix5X.tlsf,0.762427355
Morning2Min_6cbc6174.tlsf,0.085324691
Morning2_06e9cad4.tlsf,Timeout
Morning2_1cf58fc1.tlsf,Timeout
Morning2_2c5b09da.tlsf,Timeout
Morning2_407db2cc.tlsf,Timeout
Morning2_4d4ca5c4.tlsf,0.213314407
Morning2_63831f8c.tlsf,Timeout
Morning2_68c86764.tlsf,Timeout
Morning2_9cac58d3.tlsf,0.193364401
Morning2_d65ed84e.tlsf,Timeout
Morning2s_06cf2373.tlsf,Timeout
Morning2s_06e9cad4.tlsf,Timeout
Morning2s_2c5b09da.tlsf,Timeout
Morning2s_42dc4fff.tlsf,Timeout
Morning2s_9cbf2546.tlsf,Timeout
Morning2s_d6c5ac79.tlsf,Timeout
MorningMin_d6c5ac79.tlsf,0.294801593
Morning_14a3b3a2.tlsf,Timeout
Morning_4b5e6eaa.tlsf,Timeout
Morning_88c5c1c3.tlsf,Timeout
Morning_9cac58d3.tlsf,Timeout
Morning_c92eb242.tlsf,Timeout
Morning_f1477cc5.tlsf,Timeout
Morning_f2774e0b.tlsf,Timeout
MusicAppFeedback.tlsf,0.128139786
MusicAppMotivating.tlsf,0.217728117
MusicAppSimple.tlsf,0.174306482
OneCounter.tlsf,6.059773062
OneCounterGui.tlsf,0.125431435
OneCounterGuiA0.tlsf,0.13298575
OneCounterGuiA1.tlsf,0.146225111
OneCounterGuiA2.tlsf,0.228708446
OneCounterGuiA3.tlsf,0.470309469
OneCounterGuiA4.tlsf,0.423091018
OneCounterGuiA5.tlsf,0.409871328
OneCounterGuiA6.tlsf,0.57202832
OneCounterGuiA7.tlsf,0.968206893
OneCounterGuiA8.tlsf,1.483941012
OneCounterGuiA9.tlsf,4.844804215
OneCounterInRange.tlsf,0.067359717
OneCounterInRangeA0.tlsf,0.179218193
OneCounterInRangeA1.tlsf,0.080131449
OneCounterInRangeA2.tlsf,0.128550056
OneCounterInRangeA3.tlsf,0.073085412
PlugController_fa4d4ce3.tlsf,0.124681652
PlugDeviceModel_b0840146.tlsf,0.033001792
Radarboard.tlsf,0.330087981
RegManager.tlsf,0.095040346
Room_a50cadd7.tlsf,0.043405312
RotationCalculator.tlsf,0.097023749
SPI.tlsf,0.429933932
SPIPureNext.tlsf,2.844449124
SPIReadClk.tlsf,0.051476817
SPIReadManag.tlsf,1.523140196
SPIReadSdi.tlsf,0.111082569
SPIWriteClk.tlsf,0.058466729
SPIWriteManag.tlsf,0.349440783
SPIWriteSdi.tlsf,0.119021458
Scoreboard.tlsf,0.29158362
Sensor.tlsf,0.567987356
SensorInit.tlsf,0.911849332
SensorPart.tlsf,1.06077583
SensorRegister.tlsf,0.067784482
SensorSelector.tlsf,1.696844119
SensorSubmodulChooser.tlsf,0.901062697
Shades2Min_63831f8c.tlsf,0.057236835
Shades2_235467da.tlsf,0.116422484
Shades2_42dc4fff.tlsf,0.220614537
Shades2_70523fbe.tlsf,0.162997472
Shades2_a5f99bc6.tlsf,0.118016727
ShadesMin_aeb1d897.tlsf,0.081171371
Shades_6479ef9a.tlsf,0.116085374
Shades_974f4a68.tlsf,0.227029724
Shades_9cac58d3.tlsf,0.089198462
Shades_a02758ea.tlsf,0.083478982
Shades_b209ff21.tlsf,0.136349826
SingleContoller_d65ed84e.tlsf,1.218786807
SliderDefault.tlsf,0.124154341
SliderDelayed.tlsf,0.773745515
SliderScored.tlsf,0.371823915
System_b0840146.tlsf,0.077831388
Time_a50cadd7.tlsf,0.055385572
Timer_a50cadd7.tlsf,0.095230603
TorcsAccelerating.tlsf,0.08290586
TorcsGearing.tlsf,0.057513171
TorcsSimple.tlsf,0.113315252
TorcsSteeringImproved.tlsf,0.175135929
TorcsSteeringSimple.tlsf,0.080514033
TorcsSteeringSmart.tlsf,0.202170517
TwoCounters.tlsf,0.123551663
TwoCounters2.tlsf,0.2205946
TwoCounters3.tlsf,0.472573622
TwoCounters4.tlsf,0.935739761
TwoCounters5.tlsf,2.393158371
TwoCountersDisButA0.tlsf,0.364277854
TwoCountersDisButA1.tlsf,0.364393373
TwoCountersDisButA2.tlsf,0.66038011
TwoCountersDisButA3.tlsf,0.990327403
TwoCountersDisButA4.tlsf,1.00849565
TwoCountersDisButA5.tlsf,2.380894229
TwoCountersDisButA6.tlsf,1.859514515
TwoCountersDisButA7.tlsf,5.854403855
TwoCountersDisButA8.tlsf,5.438922974
TwoCountersDisButA9.tlsf,11.045316525
TwoCountersDisButAC.tlsf,10.442916466
TwoCountersGui.tlsf,0.452513103
TwoCountersInRange.tlsf,0.142357663
TwoCountersInRangeA0.tlsf,0.129434714
TwoCountersInRangeA1.tlsf,0.161685568
TwoCountersInRangeA2.tlsf,0.195829477
TwoCountersInRangeA3.tlsf,0.26560571
TwoCountersInRangeA4.tlsf,0.325366925
TwoCountersInRangeA5.tlsf,0.486242926
TwoCountersInRangeA6.tlsf,0.581441923
TwoCountersInRangeM0.tlsf,0.661742921
TwoCountersInRangeM1.tlsf,0.905484431
TwoCountersInRangeM2.tlsf,0.645269888
TwoCountersInRangeM3.tlsf,0.468114216
TwoCountersInRangeM4.tlsf,0.413689484
TwoCountersInRangeM5.tlsf,0.473794804
TwoCountersRefined.tlsf,0.141995858
TwoCountersRefinedRefined.tlsf,0.188482672
UnderapproxDemo.tlsf,0.026585805
UnderapproxDemo2.tlsf,0.036982089
UnderapproxStrengthenedDemo.tlsf,0.034149552
Warnlight_2d1010f8.tlsf,0.074669299
