1,2,3,4,5,6,7
0.715,0.530,0.624,0.639,0.496,0.395,0.430,
0.576,0.876,0.761,0.000,0.000,0.000,,
0.614,0.939,0.722,0.581,0.000,0.000,,
0.575,0.892,0.765,0.674,0.686,0.535,0.559,
0.516,0.726,0.646,0.594,0.000,0.000,,
0.958,0.897,1.044,1.222,0.706,0.491,0.699,
0.430,0.835,0.783,0.537,0.000,0.000,,
1.496,0.802,0.942,0.623,0.709,0.000,,
0.813,0.977,1.203,2.122,1.286,Infinity,,
1.471,0.908,0.996,0.644,0.794,0.000,,
1.009,0.909,0.995,0.725,0.760,0.733,0.000,
0.969,0.848,0.905,0.974,0.785,0.610,0.000,
0.944,1.096,1.074,0.816,0.927,0.609,0.000,
0.598,0.775,0.822,1.008,1.164,0.000,0.000,
0.971,0.797,1.029,0.946,0.929,0.559,0.000,
0.906,0.825,0.832,0.803,1.121,0.000,0.000,
0.697,0.715,0.894,0.854,1.099,0.427,0.000,
0.406,0.657,0.623,0.433,0.666,0.432,Infinity,
0.758,0.746,0.701,0.728,0.651,0.748,0.626,
0.602,0.508,0.580,0.452,0.562,0.553,0.489,
0.543,0.614,0.532,0.555,0.545,0.580,0.502,
0.587,0.603,0.557,0.529,0.538,0.493,0.474,
0.597,0.553,0.574,0.565,0.518,0.628,0.480,
0.608,0.605,0.556,0.597,0.543,0.566,0.489,
0.540,0.582,0.570,0.595,0.535,0.503,0.490,
0.630,0.538,0.642,0.423,0.570,0.572,0.588,
0.589,0.567,0.608,0.515,0.480,0.527,0.534,
0.691,0.816,0.758,0.891,0.926,1.022,0.871,
0.683,0.775,0.691,0.757,0.906,0.565,0.674,
0.735,0.672,0.684,0.541,0.690,0.504,0.512,
0.786,0.666,0.704,0.632,0.652,0.707,0.657,
0.775,0.709,0.719,0.761,0.705,0.682,0.593,
0.824,0.831,0.784,0.835,0.669,0.801,0.626,
0.835,0.815,0.810,0.796,0.644,0.810,0.720,
0.862,0.831,0.850,0.809,0.642,0.822,0.683,
0.786,0.774,0.814,0.868,0.682,0.803,0.659,
0.845,0.882,0.815,0.851,0.688,0.801,0.679,
0.832,0.877,0.840,0.836,0.734,0.787,0.583,
0.883,0.858,0.834,0.794,0.768,0.775,0.728,
0.844,1.035,0.781,0.787,0.719,0.740,0.784,
0.818,1.013,0.804,0.745,0.738,0.792,0.799,
1.087,1.115,1.109,0.765,0.827,0.832,0.796,
0.515,0.533,0.498,0.536,0.459,0.490,0.502,
0.807,0.783,0.748,0.728,0.606,0.687,0.714,
0.874,0.852,0.751,0.771,0.633,0.768,0.724,
0.583,0.901,0.903,0.888,0.778,0.799,0.862,
0.821,0.835,0.784,0.763,0.655,0.752,0.704,
0.861,0.821,0.784,0.768,0.637,0.772,0.731,
0.873,0.787,0.776,0.777,0.648,0.758,0.733,
0.867,0.801,0.780,0.787,0.632,0.762,0.701,
0.869,0.838,0.789,0.769,0.666,0.733,0.718,
0.494,0.517,0.553,0.259,0.498,0.588,0.707,
0.568,0.742,0.732,0.601,0.729,0.486,0.757,
0.808,0.727,0.747,0.802,0.562,0.476,0.523,
0.738,0.750,0.750,0.503,0.724,0.461,0.469,
0.715,0.569,1.466,0.861,0.746,0.898,1.180,
0.688,0.729,0.694,0.751,0.652,0.502,0.606,
1.308,1.236,0.912,1.162,0.842,1.182,0.735,
0.699,0.717,0.616,0.700,0.688,0.609,0.649,
0.443,0.521,0.516,0.512,0.488,0.516,0.583,
0.551,0.476,0.442,0.525,0.396,0.370,0.431,
0.966,0.701,0.878,0.908,0.604,0.904,0.492,
3.277,26.930,Infinity,Infinity,Infinity,Infinity,Infinity,
0.584,0.181,2.065,Infinity,,,,
0.520,0.682,0.631,0.920,0.503,0.529,0.694,
0.480,0.608,0.407,1.153,0.535,0.575,0.489,
0.510,0.787,0.753,0.866,0.682,0.580,0.623,
0.426,0.597,0.855,0.499,0.497,0.710,0.630,
0.464,0.625,0.588,1.084,0.643,0.740,0.465,
0.478,0.679,0.700,0.315,0.724,0.696,0.522,
0.630,0.641,0.596,1.717,0.668,0.629,0.420,
0.600,0.654,0.598,0.729,0.612,0.719,0.559,
0.547,0.684,0.704,1.297,0.717,0.721,0.830,
0.509,0.756,0.561,1.597,0.726,0.649,0.544,
0.537,0.706,0.810,0.779,0.701,0.654,0.638,
0.473,0.552,0.486,1.238,0.594,0.596,0.530,
0.602,0.597,0.631,0.688,0.358,0.635,0.795,
0.541,0.958,0.653,0.576,0.611,0.617,0.526,
0.498,0.689,0.697,0.666,0.518,0.709,0.711,
0.510,1.044,0.746,1.129,0.590,0.795,0.440,
0.383,0.612,0.645,0.584,0.407,0.475,0.495,
0.446,0.498,0.510,0.618,0.378,0.284,0.359,
0.510,0.564,0.650,1.141,0.552,0.855,0.525,
0.607,0.769,0.852,0.987,1.372,0.828,0.414,
0.633,0.575,0.796,0.674,0.821,0.661,0.700,
0.498,0.553,0.835,0.798,0.570,0.848,0.836,
0.461,0.859,0.670,0.518,0.867,0.570,0.663,
0.431,0.931,0.566,0.540,0.986,0.621,0.476,
0.569,0.725,0.849,1.006,0.706,0.623,0.581,
0.585,0.636,0.930,0.794,0.777,0.578,0.802,
0.470,0.936,0.735,0.563,0.565,0.691,0.690,
0.541,1.443,2.076,2.929,1.355,1.032,1.234,
0.447,0.798,0.606,0.773,0.634,0.579,0.667,
0.500,0.863,0.921,0.935,0.541,0.635,0.714,
0.415,0.594,0.699,Infinity,0.000,,,
0.486,0.647,0.776,0.507,0.761,0.630,0.672,
0.506,0.690,0.835,1.002,0.651,0.527,0.489,
0.428,0.535,0.967,0.752,0.379,0.745,0.758,
0.578,0.820,0.612,0.765,0.800,0.626,0.632,
0.561,0.738,0.481,0.651,0.621,0.597,0.778,
0.428,0.665,0.549,0.975,0.897,0.421,0.326,
0.538,0.784,0.561,0.675,0.907,0.000,,
2.138,1.988,2.580,3.602,Infinity,Infinity,Infinity,
0.803,0.610,0.899,1.242,,,,
0.577,0.493,0.526,0.695,0.691,0.000,,
1.067,1.782,1.213,1.847,Infinity,,,
0.738,0.513,0.582,0.931,0.437,,
0.694,0.722,0.899,0.421,0.338,0.000,
0.788,1.070,0.473,0.973,0.901,,
1.075,1.169,0.975,1.026,1.037,0.964,1.056,
1.027,1.073,0.962,1.068,0.980,1.015,0.961,
0.981,0.993,1.027,1.008,1.035,0.970,0.980,
Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
1.148,1.239,1.085,1.142,1.228,1.032,1.044,
1.062,1.175,0.996,0.963,1.049,0.976,1.047,
1.021,0.928,1.062,0.937,1.017,0.951,1.002,
0.997,1.050,1.029,1.024,1.004,0.975,1.007,
1.033,1.102,0.744,0.805,0.898,0.697,0.691,
1.763,2.327,2.096,1.547,2.059,2.284,Infinity,
1.802,1.517,1.797,1.930,2.422,2.005,Infinity,
2.072,1.588,1.879,1.950,1.909,2.174,Infinity,
1.877,2.017,2.078,2.191,1.840,2.319,Infinity,
1.360,1.558,1.639,2.342,2.374,2.059,Infinity,
1.251,2.090,1.897,2.197,2.153,1.531,1.919,
1.954,1.475,2.505,1.955,2.085,2.495,Infinity,
3.015,4.055,4.329,4.354,4.572,3.955,4.108,
1.501,1.979,1.849,2.529,2.279,2.002,Infinity,
1.572,1.706,1.500,1.536,0.930,1.893,1.942,
1.813,1.629,1.955,1.849,1.986,1.751,2.140,
1.014,1.643,0.865,0.545,0.830,0.577,0.570,
1.783,1.303,1.938,1.418,1.387,1.410,1.413,
1.424,1.614,1.531,0.733,1.215,1.070,1.050,
1.521,2.301,1.345,1.657,2.040,1.758,Infinity,
1.114,1.418,1.886,1.903,1.733,1.870,1.764,
0.958,1.311,2.304,1.928,1.963,1.823,Infinity,
1.101,1.496,1.859,2.196,1.621,1.803,Infinity,
1.343,2.126,1.812,2.256,1.063,1.825,Infinity,
1.332,2.203,1.377,2.088,1.556,1.769,Infinity,
1.370,1.963,1.393,1.946,1.332,1.939,Infinity,
1.365,1.727,1.621,1.911,1.538,1.714,Infinity,
1.384,2.061,1.801,1.528,1.071,1.179,Infinity,
1.726,2.233,2.724,2.895,1.794,1.943,2.584,
3.211,3.839,3.920,3.627,5.009,4.171,3.920,
0.825,1.252,1.263,0.833,1.069,1.396,0.978,
0.612,0.682,0.664,0.560,0.758,0.720,0.628,
0.842,0.893,0.883,0.666,0.619,0.899,0.814,
0.669,0.758,0.675,0.745,0.755,0.704,0.630,
1.009,0.807,0.790,1.335,1.269,0.741,0.657,
0.689,1.050,0.712,0.826,0.742,0.794,0.685,
0.670,0.629,0.743,0.507,0.859,0.649,0.629,
1.023,0.633,0.690,0.508,0.866,0.664,0.612,
1.113,1.080,1.216,1.307,1.558,1.157,1.083,
1.939,1.897,1.243,1.488,1.576,0.810,1.184,
1.115,0.666,0.772,0.498,0.930,0.662,0.678,
0.551,0.553,0.604,0.275,0.562,0.644,0.704,
1.087,1.217,0.890,0.885,1.176,0.892,0.879,
1.221,0.784,0.857,0.809,0.744,0.852,0.847,
0.759,0.774,Infinity,0.754,0.849,1.321,0.826,
0.814,0.825,0.878,0.761,0.773,0.631,0.670,
1.140,1.139,1.287,1.178,1.297,1.220,1.120,
0.616,0.427,0.508,0.602,0.501,0.713,0.454,
0.663,0.514,0.661,0.882,1.011,1.040,1.040,
1.015,0.558,0.827,0.474,0.545,0.606,0.453,
1.291,1.082,0.826,0.737,0.611,0.524,0.488,
1.245,0.900,0.563,0.657,0.512,0.423,0.433,
0.550,0.755,0.752,0.000,,,,
1.065,0.783,0.507,0.356,0.334,0.409,0.419,
Infinity,Infinity,Infinity,Infinity,,,,
Infinity,Infinity,Infinity,,,,,
0.660,0.638,0.535,0.578,,,,
Infinity,Infinity,Infinity,Infinity,,,,
Infinity,Infinity,Infinity,Infinity,,,,
Infinity,Infinity,Infinity,Infinity,,,,
Infinity,Infinity,Infinity,Infinity,,,,
0.656,0.539,0.484,0.613,,,,
0.567,0.530,0.499,0.588,,,,
0.697,0.622,0.575,0.620,,,,
Infinity,Infinity,Infinity,Infinity,,,,
0.585,0.586,0.415,0.614,,,,
0.607,0.495,0.490,0.568,,,,
0.653,0.635,0.507,0.565,,,,
Infinity,Infinity,,,,,,
39.372,Infinity,Infinity,Infinity,Infinity,Infinity,,
7.065,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
1.959,22.032,Infinity,Infinity,Infinity,Infinity,,
1.043,0.973,0.990,0.957,1.092,0.890,0.627,
6.298,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,
0.947,1.007,1.120,0.960,1.060,0.851,0.565,
9.006,1.932,3.773,1.451,2.330,Infinity,
1.546,1.107,1.049,1.010,1.455,0.982,
1.802,1.354,1.676,1.131,1.190,,
4.764,2.168,3.435,1.588,1.979,Infinity,
13.283,1.675,1.984,2.053,2.427,,
16.556,Infinity,Infinity,Infinity,Infinity,Infinity,
42.469,Infinity,Infinity,Infinity,Infinity,Infinity,
9.775,8.507,Infinity,Infinity,1.333,Infinity,
7.332,2.321,3.512,1.390,2.159,Infinity,
7.623,1.992,3.435,1.268,2.100,Infinity,
1.220,1.029,1.115,1.025,1.039,1.057,0.981,
1.156,1.075,1.115,0.957,0.780,1.043,1.037,
1.107,1.035,1.106,0.991,1.069,1.032,1.032,
1.677,1.061,1.071,1.048,1.024,1.139,1.035,
1.130,1.108,1.048,1.046,1.041,1.037,1.015,
1.103,1.108,1.037,1.043,1.028,1.162,0.914,
1.077,1.065,1.044,1.042,1.036,1.076,0.996,
1.155,1.072,1.080,1.149,1.021,1.101,1.023,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
Infinity,Infinity,Infinity,Infinity,Infinity,,
0.613,0.688,1.525,0.000,0.784,0.000,,
0.617,0.224,0.780,0.000,0.000,0.000,,
0.923,0.477,1.094,0.000,0.000,0.000,,
0.805,0.541,0.825,1.157,0.728,0.000,,
1.379,0.963,0.811,0.000,0.000,0.000,,
0.662,0.797,0.818,0.000,0.000,,,
0.626,0.606,1.405,0.000,0.000,0.000,,
0.516,0.238,1.170,0.000,0.649,,,
1.182,0.677,0.424,0.414,0.454,1.032,1.133,
0.541,0.702,0.747,1.025,0.000,0.000,,
0.942,1.450,1.335,0.620,Infinity,,,
0.543,1.155,1.498,0.000,0.911,,,
0.652,0.730,1.052,0.478,0.518,0.000,0.000,
0.433,0.748,0.799,0.435,0.000,0.915,,
1.079,0.899,1.114,0.000,0.000,0.000,,
0.666,0.800,0.942,0.000,,,,
0.666,0.735,1.656,0.000,0.514,0.000,,
0.623,0.725,0.804,0.000,0.000,0.000,,
0.660,0.754,0.937,0.000,0.673,,,
0.642,0.757,1.050,0.000,0.582,0.000,,
0.720,0.652,0.924,0.000,0.000,0.000,,
0.640,0.610,1.172,0.000,0.000,0.000,,
0.632,0.750,0.906,0.488,0.000,0.000,,
0.682,0.639,0.690,0.000,0.000,0.000,,
0.281,0.282,0.317,0.000,0.000,0.327,0.000,
1.427,1.854,2.708,0.769,1.591,2.562,Infinity,
0.709,0.853,1.344,0.568,0.730,0.614,0.986,
0.276,0.341,0.346,0.386,0.332,0.000,,
2.921,Infinity,Infinity,,Infinity,,,
0.841,1.061,1.862,0.518,1.112,0.983,,
0.282,0.245,0.256,0.000,0.000,0.000,,
0.510,0.542,0.627,0.488,0.593,0.626,0.702,
0.613,0.602,1.596,0.000,0.000,0.000,,
0.633,0.704,1.541,0.000,0.837,0.000,,
0.683,0.706,1.189,0.000,0.000,0.000,,
0.847,0.954,1.640,0.476,1.191,0.972,,
0.652,0.700,1.429,0.000,0.828,0.000,,
0.749,0.346,0.000,0.411,0.504,,0.000,
0.208,0.511,0.474,0.512,0.665,0.000,0.000,
0.487,0.431,0.249,0.548,0.526,0.000,,
0.613,0.565,0.395,0.000,0.000,,,
1.097,1.296,1.511,0.000,1.328,Infinity,,
1.266,1.146,1.033,1.095,1.238,1.084,0.592,
1.013,1.260,1.465,1.122,0.907,1.201,0.570,
0.884,0.896,1.008,0.426,0.000,0.912,,
0.727,0.313,0.288,0.344,0.404,0.371,0.456,
0.682,0.537,0.668,0.422,0.483,0.562,0.533,
0.877,0.797,0.845,0.878,0.822,0.802,0.605,
0.968,0.804,0.854,1.102,0.894,1.111,0.807,
0.296,1.016,0.635,1.130,0.000,,,
0.560,0.300,0.102,0.104,1.900,0.000,,
0.515,1.263,1.505,1.272,2.122,,,
0.322,Infinity,0.197,0.173,0.000,0.000,,
0.576,0.517,0.509,Infinity,,,,
0.758,0.343,0.229,0.111,,,
0.799,0.331,0.331,0.207,Infinity,,
0.678,0.241,0.466,0.179,0.000,,
0.824,0.563,2.434,1.718,Infinity,,
1.048,0.717,0.690,0.246,4.593,Infinity,
0.820,0.298,0.222,0.184,0.000,,
