1,2,3,4,5,6,7
0.749,0.567,1.278,0.684,0.555,0.451,0.485,
0.752,0.847,0.634,0.748,0.790,0.000,0.000,
0.774,0.567,0.628,0.674,0.669,0.000,,
0.640,0.614,0.621,0.924,0.549,0.474,0.536,
0.636,0.989,0.822,0.000,0.000,0.000,,
0.509,0.932,0.678,0.579,0.000,0.000,,
0.823,0.930,0.996,0.799,0.767,0.695,0.653,
0.678,0.709,0.631,0.652,0.000,0.000,,
0.880,0.801,1.111,0.838,0.890,0.648,0.664,
0.712,0.892,0.770,0.622,0.000,0.000,,
1.268,0.860,0.840,0.697,0.669,0.000,,
0.809,0.820,0.957,0.985,0.687,0.535,0.000,
0.820,0.917,0.987,0.662,0.711,0.000,,
0.833,0.804,0.953,0.730,0.664,0.783,0.000,
1.000,0.826,0.775,0.853,0.886,0.726,0.000,
0.729,0.902,0.873,0.716,0.740,0.620,0.000,
0.546,0.782,0.804,0.732,0.748,0.000,0.000,
0.864,0.797,0.835,0.672,0.769,0.628,0.000,
1.077,0.832,0.805,0.720,0.878,0.000,0.000,
0.703,0.818,0.912,0.739,1.110,0.471,0.000,
0.399,0.883,0.709,0.569,0.790,0.741,0.579,
0.740,0.753,1.094,0.904,0.820,0.729,1.116,
0.621,0.751,0.834,0.531,0.889,0.637,0.590,
0.736,0.681,0.593,0.629,0.666,0.674,0.611,
0.667,0.700,0.886,0.659,0.648,0.604,0.555,
0.874,0.862,0.849,0.841,0.643,0.950,0.577,
0.649,0.659,0.880,0.664,0.825,0.662,0.847,
0.617,0.639,0.675,0.845,0.638,0.630,0.606,
0.894,0.663,0.707,0.549,0.970,0.943,0.698,
0.799,0.824,0.704,0.628,0.603,0.623,0.673,
0.823,0.714,0.881,0.588,1.532,0.895,0.747,
0.751,0.889,0.797,0.696,1.024,0.475,0.838,
0.699,0.643,0.739,0.516,0.715,0.533,0.631,
0.825,0.783,0.796,0.529,0.716,0.820,0.737,
0.808,0.889,0.829,0.707,0.806,0.789,0.688,
0.804,0.796,0.754,0.751,0.578,0.832,0.958,
0.830,0.839,0.820,0.701,0.660,0.822,0.771,
0.807,0.899,0.761,0.689,0.549,0.805,0.743,
0.757,0.829,0.801,0.792,0.691,0.816,0.704,
0.833,0.836,0.779,0.805,0.682,0.805,0.742,
0.829,0.812,0.816,0.786,0.737,0.767,0.504,
0.856,0.827,0.849,0.669,0.742,0.765,0.747,
0.850,1.166,0.818,0.707,0.771,0.755,0.796,
0.847,1.091,0.791,0.601,0.790,0.835,0.821,
1.069,1.157,1.064,0.867,1.201,1.179,1.255,
0.620,0.653,0.598,0.614,0.560,0.605,0.655,
0.849,0.904,0.824,0.682,0.545,0.774,0.833,
0.843,0.853,0.761,0.694,0.544,0.789,0.776,
0.601,0.641,0.620,0.815,0.626,0.623,0.675,
0.821,0.835,0.771,0.655,0.553,0.765,0.728,
0.851,0.849,0.773,0.672,0.542,0.792,0.776,
0.840,0.809,0.775,0.684,0.544,0.780,0.764,
0.829,0.821,0.763,0.668,0.551,0.796,0.733,
0.831,0.863,0.776,0.654,0.560,0.795,0.743,
0.718,0.583,0.559,0.356,0.387,0.989,1.212,
0.727,0.756,1.129,0.748,0.702,0.753,1.017,
0.750,1.106,0.794,1.103,0.601,0.811,0.822,
0.770,1.067,1.168,0.821,0.703,0.518,0.543,
0.960,0.605,1.118,1.200,0.864,1.301,1.260,
0.996,0.938,1.007,1.137,1.000,0.792,0.683,
1.338,1.040,1.045,1.083,0.898,0.900,0.783,
