1,2,3,4,5,6,7
0.663,0.605,0.643,0.619,0.474,0.613,0.464,
0.628,0.576,0.561,0.728,0.563,0.620,0.406,
0.839,0.651,0.552,0.600,0.376,0.610,0.460,
0.742,0.510,0.548,0.622,0.389,0.618,0.511,
0.610,0.525,0.524,0.648,0.401,0.597,0.452,
0.578,0.551,0.559,0.604,0.425,0.552,0.429,
0.649,0.551,0.521,0.638,0.444,0.608,0.494,
0.661,0.631,0.558,0.557,0.411,0.548,0.625,
0.668,0.531,0.519,0.527,0.397,0.499,0.466,
0.719,0.642,0.566,0.566,0.440,0.620,0.431,
0.887,0.659,0.448,0.559,0.555,0.611,0.662,
0.924,0.603,0.611,0.693,0.614,0.595,0.392,
0.690,0.637,0.573,0.491,0.434,0.515,0.446,
0.527,0.346,0.519,0.573,0.479,0.629,0.402,
0.647,0.599,0.654,0.542,0.483,0.484,0.381,
0.812,0.579,0.616,0.524,0.471,0.589,0.482,
0.768,0.645,0.547,0.563,0.456,0.000,0.406,
0.619,0.510,0.543,0.419,0.479,0.572,0.489,
0.672,0.595,0.578,0.676,0.578,0.511,0.419,
0.916,0.735,0.573,0.586,0.464,0.615,0.514,
0.687,0.519,0.480,0.528,0.370,0.658,0.000,
0.645,0.550,0.580,0.446,0.485,0.668,0.400,
0.543,0.484,0.685,0.582,0.490,0.619,0.474,
0.579,0.498,0.613,0.552,0.480,0.534,0.502,
0.599,0.554,0.544,0.548,0.601,0.605,0.437,
0.510,0.415,0.508,0.400,0.551,0.597,0.450,
0.515,0.675,0.552,0.510,0.491,0.446,0.432,
0.828,0.682,0.571,0.335,0.639,0.622,0.540,
0.758,0.734,0.467,0.443,0.557,0.510,0.496,
0.730,0.415,0.493,0.466,0.671,0.546,0.453,
0.509,0.556,0.513,0.437,0.638,0.599,0.417,
0.891,0.490,0.495,0.364,0.633,0.546,0.574,
0.769,0.596,0.325,0.517,0.678,0.446,0.000,
0.683,0.837,0.415,0.614,0.577,0.628,0.530,
0.719,0.402,0.159,0.383,0.309,0.388,0.297,
0.717,0.271,0.323,0.270,0.252,0.000,
0.712,0.277,0.212,0.198,0.355,,
0.757,0.209,0.153,0.172,0.249,0.000,
0.589,0.383,0.161,0.116,0.000,,
0.728,0.238,0.094,0.351,0.000,,
0.839,0.461,0.291,0.475,0.381,0.000,
0.770,0.245,0.193,0.204,0.000,0.000,
0.830,1.094,1.091,1.148,,,,
2.100,2.735,3.186,1.293,,,,
1.040,1.082,1.040,1.230,,,,
0.817,1.135,1.053,1.462,,,,
0.873,0.876,1.092,1.243,,,,
0.984,0.874,0.964,1.224,,,,
0.832,0.824,1.104,1.139,,,,
0.825,0.811,1.104,1.088,,,,
0.874,0.855,1.104,1.231,,,,
0.970,1.064,1.099,1.327,,,,
0.796,1.102,1.053,1.179,,,,
0.789,1.115,1.050,1.030,,,,
