Spec,Time,Best?,Annotation
/home/ubuntu/evaluation_fse2025/syntech/Junction3.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/BeachLifeMain.spectra,0.085,false,
/home/ubuntu/evaluation_fse2025/syntech/ATM8.spectra,0.04,true,
/home/ubuntu/evaluation_fse2025/syntech/team-9/variant-1.spectra,0.036,true,
/home/ubuntu/evaluation_fse2025/syntech/team-9/Robot.spectra,0.036,true,
/home/ubuntu/evaluation_fse2025/syntech/team-9/variant-3.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/team-9/Junction.spectra,0.081,false,
/home/ubuntu/evaluation_fse2025/syntech/team-9/variant-2.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/team-9/Cleaner.spectra,0.081,false,
/home/ubuntu/evaluation_fse2025/syntech/DeliveryDroneMain.spectra,0.073,false,
/home/ubuntu/evaluation_fse2025/syntech/ConvoyCar_ConvoyCarSpec_311.spectra,0.072,false,
/home/ubuntu/evaluation_fse2025/syntech/SimpleVehicle_VehicleSpec_272.spectra,0.036,true,
/home/ubuntu/evaluation_fse2025/syntech/Junction2.spectra,0.088,false,
/home/ubuntu/evaluation_fse2025/syntech/team-10/variant-1.spectra,0.08,false,
/home/ubuntu/evaluation_fse2025/syntech/team-10/Robot.spectra,0.07,true,
/home/ubuntu/evaluation_fse2025/syntech/team-10/variant-3.spectra,0.096,false,
/home/ubuntu/evaluation_fse2025/syntech/team-10/Junction.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/team-10/variant-2.spectra,0.082,false,
/home/ubuntu/evaluation_fse2025/syntech/team-10/Cleaner.spectra,0.095,false,
/home/ubuntu/evaluation_fse2025/syntech/ATM6.spectra,0.038,true,
/home/ubuntu/evaluation_fse2025/syntech/Connect4WithDiagonals3X3.spectra, class java.util.concurrent.TimeoutException,,
/home/ubuntu/evaluation_fse2025/syntech/ParkingLot2.spectra, Time data not found,,
/home/ubuntu/evaluation_fse2025/syntech/ShoppingMallCovidMain.spectra, class java.util.concurrent.TimeoutException,,
/home/ubuntu/evaluation_fse2025/syntech/team-2/variant-1.spectra,0.078,false,
/home/ubuntu/evaluation_fse2025/syntech/team-2/Robot.spectra,0.11,true,
/home/ubuntu/evaluation_fse2025/syntech/team-2/variant-3.spectra,0.074,false,
/home/ubuntu/evaluation_fse2025/syntech/team-2/Junction.spectra,0.037,true,
/home/ubuntu/evaluation_fse2025/syntech/team-2/variant-2.spectra,0.078,false,
/home/ubuntu/evaluation_fse2025/syntech/team-2/Cleaner.spectra,0.071,false,
/home/ubuntu/evaluation_fse2025/syntech/team-1/variant-1.spectra,0.083,false,
/home/ubuntu/evaluation_fse2025/syntech/team-1/Robot.spectra,0.071,true,
/home/ubuntu/evaluation_fse2025/syntech/team-1/variant-3.spectra,0.08,false,
/home/ubuntu/evaluation_fse2025/syntech/team-1/Junction.spectra,28.371,true,
/home/ubuntu/evaluation_fse2025/syntech/team-1/variant-2.spectra,0.078,false,
/home/ubuntu/evaluation_fse2025/syntech/team-1/Cleaner.spectra,0.069,false,
/home/ubuntu/evaluation_fse2025/syntech/ParkingLot1.spectra, class java.util.concurrent.TimeoutException,,
/home/ubuntu/evaluation_fse2025/syntech/ATMupdated.spectra,0.039,true,
/home/ubuntu/evaluation_fse2025/syntech/AutonomousVehicle.spectra,0.083,false,
